frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
248,4,3,Car,True,0.428,788.1,445.2,1055.4,682.3,921.7,563.7,267.3,237.1
249,6,3,Car,True,0.516,642.5,479.9,749.6,587.3,696.1,533.6,107.1,107.4
249,4,3,Car,True,0.306,792.1,446.6,1056.5,680.8,924.3,563.7,264.4,234.2
250,6,3,Car,True,0.496,643.8,480.6,752.2,589.7,698.0,535.1,108.4,109.1
250,4,3,Car,True,0.522,792.8,447.5,1061.9,686.1,927.4,566.8,269.2,238.6
251,6,3,Car,True,0.564,646.9,481.6,754.1,589.6,700.5,535.6,107.2,108.0
251,4,3,Car,True,0.553,797.2,446.3,1066.0,684.9,931.6,565.6,268.9,238.6
252,6,3,Car,True,0.668,649.7,482.7,755.5,589.1,702.6,535.9,105.8,106.4
252,4,3,Car,True,0.474,799.9,446.1,1071.2,687.5,935.6,566.8,271.3,241.4
253,6,3,Car,True,0.56,653.3,483.9,757.9,588.9,705.6,536.4,104.5,105.0
253,4,3,Car,True,0.414,803.7,447.2,1073.4,687.2,938.5,567.2,269.7,240.0
254,6,3,Car,True,0.661,657.2,483.6,761.3,588.4,709.3,536.0,104.2,104.9
254,4,3,Car,True,0.581,804.8,448.7,1075.2,689.9,940.0,569.3,270.5,241.2
255,6,3,Car,True,0.675,659.7,483.9,764.4,589.2,712.1,536.5,104.7,105.3
255,4,3,Car,True,0.562,806.9,448.5,1078.7,691.1,942.8,569.8,271.8,242.6
256,6,3,Car,True,0.514,661.2,484.3,766.6,590.3,713.9,537.3,105.4,106.0
256,4,3,Car,True,0.315,807.9,444.6,1081.3,688.9,944.6,566.7,273.4,244.3
257,6,3,Car,True,0.415,664.4,483.1,769.4,588.4,716.9,535.8,105.0,105.3
257,4,3,Car,True,0.337,808.1,444.4,1081.8,689.8,944.9,567.1,273.7,245.4
258,6,3,Car,True,0.605,667.3,482.3,773.0,588.0,720.2,535.1,105.7,105.7
258,4,3,Car,True,0.508,809.6,445.0,1082.2,690.0,945.9,567.5,272.7,245.0
259,6,3,Car,True,0.564,667.9,481.4,775.2,588.1,721.5,534.8,107.3,106.7
259,4,3,Car,True,0.395,814.6,444.3,1084.9,686.8,949.8,565.6,270.3,242.4
260,6,3,Car,True,0.343,670.1,479.8,778.2,587.5,724.2,533.7,108.0,107.7
260,4,3,Car,True,0.431,817.4,444.3,1087.4,686.3,952.4,565.3,270.0,242.0
261,4,3,Car,True,0.379,820.8,443.5,1090.0,684.6,955.4,564.0,269.2,241.1
262,4,3,Car,True,0.625,824.8,443.9,1093.2,683.5,959.0,563.7,268.3,239.6
263,4,3,Car,True,0.475,825.8,441.8,1097.6,684.1,961.7,562.9,271.8,242.3
263,6,3,Car,True,0.458,675.3,477.3,786.0,587.7,730.6,532.5,110.6,110.4
